title,authors,editors,tm,type,publisher,isbn,abstract,year,department,pdf_path,external_link,citation,keyword,status,restricted
Bioactives in three Philippine ferns,"Victor B. Amoroso, April Joie D. Lagumbay, Rainear A. Mendez, Reggie Y. De La Cruz, Anabelle P. Villalobos",,NP,Journal,"1Center for Biodiversity Research and Extension in Mindanao, Central Mindanao University, Musuan, Bukidnon 8710, Philippines; 2Department of Science and Technology, Philippines and Jonhson & Johnson Pharmaceuticals, USA.",,"Ferns in the Philippines have been used by native people as food and tea since the early times but over time their values have been lost in the Filipino diet. The present study was aimed at bringing back the lost value of ferns by demonstrating their important components needed for health and wellness in food. To do this, we determined the antioxidants, proteins and phytochemicals in three edible species of ferns, namely: Diplazium esculentum (Retz.) Sw., Marsilea crenata Presl and Stenochlaena palustris (Burm.f.) Bedd. These edible ferns were collected from the wild in several places in Mindanao and were propagated in the pteridogarden in Central Mindanao University (CMU), Musuan, Bukidnon. The young fern fronds which are the part used for food were tested in the CMU Natural Sciences Laboratories. Test results showed quantitative level of antioxidant activity by the DPPH (1,1-diphenyl-2-picrylhydrazyl) assay with D. esculentum exhibiting the highest antioxidant activity relative to ascorbic acid (83%). Laboratory test results also showed protein content as high as 4.4 mg/g for M. crenata. All the three fern species showed positive to alkaloids, saponins, phenolics and flavonoids and only D. esculentum showed definite positive to terpenes. M. crenata and S. palustris showed faint bands for terpenes.",2014,None,,,"Amoroso, V. B., Lagumbay, A. J. D., Mendez, R. A., de la Cruz, R. Y., & Villalobos, A. P. (2014). Bioactives in three Philippine ferns. Asia Life Sciences, 23(2), 445–454. https://www.researchgate.net/publication/283760747_Product_Development_of_Malunggay_Moringga_Oleifera_and_Sweet_Potato_Ipomea_Batatas_for_Pastry_and_Fillings
","Ferns, antioxidants, proteins, phytochemicals, Mindanao, Philippines",0,0
"Bringing back the lost value of Philippine edible ferns: their antioxidant, proteins and utilization","Victor B. Amoroso, Rainear A. Mendez and Annabelle P. Villalobos",,NP,Journal,"1Center for Biodiversity Research and Extension in Mindanao (CEBREM), Central Mindanao University, Musuan, Bukidnon 8710 Philippines. 2Department of Biology, Central Mindanao University, Musuan, Bukidnon 8710 Philippines. 3Department of Chemistry, Central Mindanao University, Musuan, Bukidnon 8710 Philippines. 4Department of Science and Technology Balik-Scientist and Biotech Drug Discovery and Development Consultant (USA).",ISSN: 2320-5407,"Ferns have myriad compounds and are used by native people as food for a long time but this use seems to diminish over time. Knowing their use as food, bioactives and proteins were determined to demonstrate their health and wellness benefits. Ten species of edible ferns were collected and propagated in the Pteridogarden. The young sterile fronds were used to determine bioactives and proteins. The bioactives were determined by thin layer chromatography, DPPH assay, Bradford assay and SDS-PAGE. A seminar-field visit was conducted to disseminate the new information gathered and a recipe book was prepared. Phytochemical analysis revealed alkaloids, saponins, phenolics, terpenes and flavonoids. The antioxidant activity ranged from 32.5-76.0% relative to ascorbic acid or 31-152?mol ascorbic acid/g wet weight. The protein content ranged from 0.1-4.4mg/g wet weight. The molecular weights of component proteins ranged from 10-250kDa. Marsilea crenata, Acrostichum aureum, Pteris ensiformis? Angiopteris palmiformis, Asplenium nidus and Diplazium esculentum exhibited high quantifiable antioxidant activity. On the other hand, M. crenata, A. aureum, P. ensiformis, A. palmiformis, D. esculentum and Stenochlaena palustris have high protein content. These results together with food recipes were disseminated to the public. The ten species of edible ferns contain quantifiable amounts of antioxidants and proteins. Based on these data and the dishes prepared, M. crenata, D. esculentum S. palustris, P. ensiformis, A. palmiformis, A. nidus and A. aureum are potential and alternatively good food source.",2017,None,,https://www.journalijar.com/uploads/750_IJAR-16785.pdf,"Amoroso, V. B., Mendez, R. A., & Villalobos, A. P. (2017). Bringing back the lost value of Philippine edible ferns: Their antioxidant, proteins, and utilization. International Journal of Advanced Research, 5(4), 757–770. https://doi.org/10.21474/IJAR01/3873","Pteridiphytes, pteridogarden, antioxidant, proteins, phytochemicals, fern recipe",0,0
Processing Breadfruit,Carlos J. Andam,,P,Article,Manila Bulletin,,,2010,None,,,"Andam, C.J. (2010). Processing Breadfruit. Agriculture Monthly Magazine (Manila Bulletin) 14(9):22","Rimas, pastries, biscuits, multi-commodity solar tunnel dryer",0,0
Rooting Response of Seedless Breadfruit (Artocarpus Altilis) Root Cuttings in Different Levels of Indole Butyric Acid,Anon,,P,Thesis,"Mindoro State College of Agriculture and Technology, Alcate, Victoria, Oriental Mindoro",,,,None,,,"Anon. Rooting Response of Seedless Breadfruit (Artocarpus Altilis) Root Cuttings in Different Levels of Indole Butyric Acid. Mindoro State College of Agriculture and Technology, Alcate, Victoria, Oriental Mindoro (Undergraduate thesis).","Breadfruit, rooting hormone, indole butyric acid",0,0
Vegetable as drug,,,P,Article,,,,,None,,,Anon. Vegetable as drug.,"Vegetables, medicinal uses, Polypodiaceae, Commelinaceae, compedium",0,0
Varietal improvements of sweet potato fro the Philippine highlands,"B. A. Anselmo, Z. Ganga, E. Badol, M. C. Posa, and C. Sagudan",,P,Thesis,,,"Today’s sweet potato farmers in the Philippine Highlands are demanding cultivars that are high yielding, acceptable to consumers, and tolerant of major stresses such as shade and low fertility soils. The Varietal Improvement Project screens germ plasm according to criteria 
based on farmers' demands. Selected varieties must have good yields and be resistant to drought. This year, about 10,000 segregating seeds were generated through the polycross method for use as a source of variability for drought tolerance. Simultaneously, under glasshouse conditions, local cultivars were screened to identify resistant genotypes. Results 
showed that only two cultivars (Kalbo-oy and Tocano) produced storage roots under drought conditions. These cultivars will be used as checks in screenings for drought resistance. Screening and evaluation of various genotypes will continue on station and in farmers' fields, where major stresses are encountered.",,None,,,"Anselmo, B. A., Ganga, Z., Badol, E., Posa, M. C., & Sagudan, C. (n.d.). Varietal improvements of sweet potato for the Philippine highlands: Selecting for drought resistance.","Sweet potato, sweet potato seeds, Philippine highlands, participatory approach",0,0
Catalog of indigenous food plants in Ilocos Norte. Mariano Marcos State University,"Menisa A. Antonio, Epifania O. Agustin, and Araceli J. Badar",,NP,Book,"Mariano Marcos State University, City of Batac 2906 Ilocos Norte",,"The catalog presents 46 different plant species, which were documented from the remote communities in seven composite towns of Ilocos Norte, such as Adams, Pagudpud, Bangui, Dumalneg, Vintar, Carasi, and Nueva Era. Most of these plants are grown in the wild and are traditionally used for food, health and nutrition, and as sources of income of people.",2018,None,,,"Antonio, M. A., Agustin, E. O., & Badar, A. J. (2018). Catalog of indigenous food plants in Ilocos Norte. Mariano Marcos State University. https://www.mmsu.edu.ph/news/mmsu-launches-catalog-on-indigenous-food-plants#:~:text=The%20catalog%20presents%2046%20different%20plant%20species%2C%20which,Pagudpud%2C%20Bangui%2C%20Dumalneg%2C%20Vintar%2C%20Carasi%2C%20and%20Nueva%20Era

","Indigenous food, local Ilocano names, vegetable species",0,0
"Survey and characterization of indigenous food plants in Ilocos Norte, Philippines","Menisa A. Antonio, Rodel T. Utrera, Epifania O. Agustin, Dionisio L. Jamias, Araceli J. Badar, and Miriam E. Pascua",,P,Book,"Mariano Marcos State University, City of Batac 2906 Ilocos Norte",ISSN: Paperback 1908-6164e-ISSN 2599-3895,"A total of 46 IFPs representing 27 plant families were identified. Most of them were wild species; the others were landraces or native varieties of cultivated crops. The identified IFPs are important plant genetic resources contributing to food sufficiency, nutrition, and household income supplements in the study sites. Ethnobotanical data indicate that the plants have become an integral part of the people’s daily diet, adapting to a wide range of geomorphic and soil conditions.",,None,,,"Antonio, M. A., Utrera, R. T., Agustin, E. O., Jamias, D. L., Badar, A. J., & Pascua, M. E. (2011). Survey and characterization of indigenous food plants in Ilocos Norte, Philippines (SEARCA Agriculture & Development Discussion Paper Series No. 2011-2). Southeast Asian Regional Center for Graduate Study and Research in Agriculture (SEARCA). https://www.searca.org/pubs/discussion-papers?pid=130

","Indigenous food plants, Ilocos Norte, germplasm",0,0
Talinum Production Guide,Julie Ann A. Aragones,Ms. Solita R. Sicat,NP,Book,"Horticulture Section, Crop Research Division, Bureau of Plant Industry-Department of Agriculture",,"Talinum, Talinum triangulare (Jacq.) Willd (synonym of Talinum fruticosum (L.) Juss.) otherwise known as waterleaf, cariru, Surinam purslane, 
Philippine spinach, Ceylon spinach, Florida spinach and potherb fame flower is an erect perennial herb herbaceous perennial herb belonging to the family Portulacaceae with swollen roots and obtuse-angular to terete (cylindrical but usually slightly tapering at both ends, circular in crosssection, and smoothsurfaced), glabrous, succulent stems. It is popularly known as Waterleaf because of its high content of almost 90.8% per 100 gm of edible leaf. It is locally known as Galaghati (Subanon), Biala (Marinduque), and Talinum (Tagalog, Ilokano).",,None,,https://library.buplant.da.gov.ph/images/1641949817TALINUM.pdf,"Aragones, J.A. A. (2011). Talinum Production Guide. Department of Agriculture -Bureau of Plant Industry.https://library.buplant.da.gov.ph/administrator/View/87/edit","Talinum triangulare, cultivation, Talinum recipes",0,0
Alugbati Production Guide,Julie Ann A. Aragones,,NP,Book,"Horticulture Section, Crop Research Division, Bureau of Plant Industry-Department of Agriculture",,"Alugbati (Basella alba L., B. rubraL.) or Malabar spinach also known as Ceylon spinach, Vietna-mese spinach (English); Saan Choy, Shan Tsoi, Luo Kai, ShuChieh, Lo Kwai (Chinese); TsuruMurasa Kai (Japanese); MongToi (Vietnamese); Paag-Prung (Thai); Genjerot, Jingga, Gendola (Indonesian), is one of the most popular indigenous leafy vegetables in the Philippines. It is widely cultivated in all regions of the country particularly in the Visayas region.",,None,,https://library.buplant.da.gov.ph/images/1638341037Alugbati%20Production%20Guide.pdf,"Aragones, J.A.A.. Alugbati Production Guide. Department of Agriculture - Bureau of Plant Industry.https://library.buplant.da.gov.ph/images/1638341037Alugbati%20Production%20Guide.pdf","Basella alba, B. rubra, habitat, distribution, nutritional value, production",0,0
The Antioxidant and Hepatoprotective Activities of the Ethyl Acetate Leaf Extract of Ficus pseudopalma Blanco,Joshua Arimado and Librado Santiago,,NP,Journal,"1 The Graduate School, University of Santo Tomas, España Blvd, Manila, Philippines; 2 Department of Biochemistry, Faculty of Pharmacy, University of Santo Tomas, España Blvd, Manila, Philippines; 3 Research Center for the Natural and Applied Sciences, University of Santo Tomas, España Blvd, Manila, Philippines",ISSN: 0975-4873,"The antioxidative and hepatoprotective properties of defatted ethyl acetate extract fractionated from the crude methanolic leaf extract of Ficus pseudopalma Blanco, an endemic Philippine medicinal plant, were investigated. The extract possessed high total flavonoid (21.80 ± 0.16 mg quercetin equivalent/g) and total phenolic (12.93 ± 0.57 mg gallic acid equivalent/g) content as well as strong 2,2-diphenyl-1-picrylhydrazyl (DPPH) scavenging activity (IC50 = 0.71 ± 0.01 ?g/mL). Assessment of the in vitro antioxidant activity of the total phenolic fraction (TPF) from the extract revealed a concentrationdependent DPPH (IC50 IC50= 2.73 ± 0.04 ?g/mL) and nitric oxide (IC50= 4.96 ± 0.05 ?g/mL) scavenging activity as well as strong Fe+3 reducing ability (RC50= 11.74 ± 0.19 ?g/mL). An in vivo hepatoprotective study using Sprague-Dawley rats revealed that the extract possessed significant (p<0.05) hepatoprotective activity against paracetamol (500 mg/kg)-induced oxidative damage. Extract treatment markedly attenuated increase in serum transaminases, alkaline phosphatase (ALP), and liver malondialdehyde (MDA) levels while preventing marked decrease in albumin (ALB), reduced glutathione (GSH) and catalase (CAT) levels. The extract also ameliorated histopathological changes to liver tissue in a dose-dependent manner. The extract at a dose of 400 mg/kg was comparably similar (p>0.05) to the hepatoprotective effect of Nacetylcysteine (NAC) at 100 mg/kg. High performance liquid chromatography (HPLC) revealed the presence of lupeol and quercetin that were likely responsible for the antioxidant and hepatoprotective activities exerted by the extract.",2015,None,,,"Arimado, J., & Santiago, L. (2015). The antioxidant and hepatoprotective activities of the ethyl acetate leaf extract of Ficus pseudopalma Blanco. International Journal of Pharmacognosy and Phytochemical Research, 7(6), 1179–1189.https://impactfactor.org/PDF/IJPPR/7/IJPPR,Vol7,Issue6,Article24.pdf","Ficus pseudopalma, ethyl acetate extract, antioxidant, hepatoprotective, lupeol, quercetin",0,0
"Economics of vegetable production under protected cropping structures in Eastern Visayas, Philippines","Pedro T. Armenia, Kenneth M. Menz, Gordon S. Rogers, Z. C. Gonzaga, Reny G. Gerona, and Elsie R. Tausa",,NP,Thesis,"1Visayas State University, Philippines; 2Applied Horticultural Research, Australia",,"Growing vegetables in the Eastern Visayas has always been problematic, especially in the wet season, due to heavy winds and rain. Protection from this harsh environment can be provided by various means, but there are obvious trade-offs between protection and cost. The practical reality is that there is minimal uptake of protected cropping in the region, and focus group discussions indicated that this was primarily due to the cost of the protective structures. Thus, in the project reported here, economics research, combined with agronomic and engineering, plays a significant role in trying to achieve a cost-effective protected cropping production system. The results of farmer-cooperator trials show that protected cropping can be economically feasible and there is already been uptake beyond the auspices of the project. Farmer skill levels (including crop selection) are important in contributing to productivity and revenue. Also, basic inputs such a fertiliser and pest control are important. There is a negative correlation between rainfall and vegetable productivity. As experience is gained by farmers and LGU's in the region, the economic feasibility should be further enhanced.",2018,None,,https://www.researchgate.net/publication/268302956_Economics_of_Vegetable_Production_Under_Protected_Cropping_Structures_in_the_Eastern_Visayas_Philippines,"Armenia, P.T., Menz, K.M., Rogers,G.S., Gonzaga, Z.C., Gerona, R.G., Tausa, E.R. (2018). Economics of Vegetable Production Under Protected Cropping Structures in the Eastern Visayas, Philippines.https://www.researchgate.net/publication/268302956_Economics_of_Vegetable_Production_Under_Protected_Cropping_Structures_in_the_Eastern_Visayas_Philippines","Protective cropping, Eastern Visayas, farmer-cooperators",0,0
"Ethnobotanical study of indigenous plants used by local people of Agusan del Sur, Philippines","Rose D. Arquion, Cesario C. Galanida, Brenda Villamor, Henry T. Aguilar",,NP,Journal,"Philippine Normal University, Prosperidad, Agusan del Sur, Philippines",,"Medicinal and wild edible plants are important for human existence. This study aimed to investigate medicinal uses of indigenous plants to human and to document wild edible plants (WEP). Ethnobotanical data were obtained from 493 informants using semi-structured interviews and field observations done in 32 communities. The study documented 126 species of medicinal plants belonging to 57 families and 105 genera. Herbs were largely utilized and prepared mostly by decoction, extraction, and infusion to cure human diseases/ailments. The largest number of taxa of medicinal plants came from Families of Gramineae and, Lamiaceae (7), Euphorbiaceae (6), Liliaceae, Asteraceae, Moraceae and, Malvaceae (5). Some documented 53 species of wild edible plants belong to 46 families mostly utilized as vegetables for food and sources of income. The commonly used wild edible plants belong to Family Convolvulaceae, Musaceae, and Arecaceae. Documenting these indigenous plants and associated ethnobotanical knowledge can be used as basis for developing management plan for conservation and sustainable use.",2015,None,,https://www.researchgate.net/publication/387770462_Ethnobotanical_study_of_indigenous_plants_used_by_local_people_of_Agusan_del_Sur_Philippines,"Arquion, R. D., Galanida, C. C., Villamor, B., & Aguilar, H. T. (2015). Ethnobotanical study of indigenous plants used by local people of Agusan del Sur, Philippines. Asia Pacific Higher Education Research Journal, 2(2). https://www.researchgate.net/publication/387770462_Ethnobotanical_study_of_indigenous_plants_used_by_local_people_of_Agusan_del_Sur_Philippines","Ethnobotany, wild edible plants, medicinal plants",0,0
"Community-based Assessment on the Plant Resource Utilization of Mt. Maculot, Cuenca, Batangas, Philippines","Jethro Arsenio, Melanie Medecilo, Edna Mercado, Esteban Salibay Jr., and Felinore Angelica Valera",,NP,Journal,"1Biological Sciences Department, College of Science, DLSU-D, Dasmariñas, Cavite, Philippines; 2Mathematics Department, College of Science DLSU-D, Dasmariñas, Cavite, Philippines; 3Religious Education Department, College of Education, DLSU-D, Dasmariñas, Cavite, Philippines",,"The plant resource utilization by the local communities in Mt. Maculot was studied. Questionnaires and personal interview were used to assess the utilization by the local people regarding the plant species in their area. Questionnaires were given to 160 respondents in five barangays around Mt. Maculot, namely: Pinagkaisahan, San Isidro, Barangay 7, Don Juan, and Dita. This research was carried out to assess the socio-economic status of the local community and identify the economically important plants. Economic plants mentioned by respondents were categorized into food, medicine, timber and ornamentals. Results of the study showed that the economically important plants include food (64.21 %) which ranks as the major utilization of plant resources in the area and the most important food plants are Mangifera indica, Cocos nucifera, Colocasia esculenta, Musa sapientum, Dioscorea alata, and Manihot esculenta. Other uses of the plant resources are: medicinal plants (47.37%), ornamental plants (13.68%) and plants utilized either for timber (3.16%), firewood (2.10%), and handicraft (1.05%). Mangifera indica L. and Cocos nucifera L. were plants identified by the local communities having multiple uses such as food, medicine, timber and firewood.",2011,None,,https://www.researchgate.net/publication/266066667_Community-based_Assessment_on_the_Plant_Resource_Utilization_of_Mt_Maculot_Cuenca_Batangas_Philippines,"Arsenio, J., Medecilo, M., Mercado, E., Salibay, E., Jr., & Valera, F. A. (2011). Community-based assessment on the plant resource utilization of Mt. Maculot, Cuenca, Batangas, Philippines. In Proceedings of the International Conference on Environment and Industrial Innovation (IPCBEE, Vol. 12). https://www.researchgate.net/publication/266066667_Community-based_Assessment_on_the_Plant_Resource_Utilization_of_Mt_Maculot_Cuenca_Batangas_Philippines","Economically- important plants, local community, Mt. Maculot, Philippines",0,0
"Water spinach (Ipomoea aquatica, Convolvulaceae) a food gone wild.",Daniel F. Austin,,NP,Journal,"Arizona-Sonora Desert Museum, 2021 N. Kinney Road, Tucson, AZ 85743, U.S.A.",,"Water spinach (Ipomoea aquatica) has been considered native to Africa, Asia, and the southwestern Pacific Islands. The herbs have been a medicinal vegetable in southern Asia since at least A.D. 300, and perhaps since 200 B.C. People still gather plants from the wild and cultivate them. With European arrival in these regions in the late 1400s, they became aware of this medicinal food and began carrying water spinach around the world. As with other transported plants, Europeans took along some common names and cultural uses. With the later migration of people from Asian countries to other parts of the world, the food was imported into new areas. Doubt persists as to where the species was domesticated. Data from uses as food, regions of cultivation, medicinal use, phylogenetic studies, common names, and pathogens suggest that water spinach was first cultivated in southeastern Asia. The plants may have been domesticated in China and India, but the data are equivocal. The vegetable sometimes escapes from cultivation to become an ecologically invasive weed.",2007,None,,https://www.researchgate.net/publication/29736141_Water_Spinach_Ipomoea_aquatica_Convolvulaceae_A_Food_Gone_Wild,"Austin, D.F. (2007). Water spinach (Ipomoea aquatica, Convolvulaceae) a food gone wild. Ethnobotany Research & Applications 5:123-146.https://www.researchgate.net/publication/29736141_Water_Spinach_Ipomoea_aquatica_Convolvulaceae_A_Food_Gone_Wild","Ethnobotany, kangkong, production, invasive species",0,0
Breadfruit: Not so appetizing to mosquitoes,Sandra Avant,,NP,Journal,Agriculture Monthly,,"Male inflorescences from a diverse selection of breadfruit trees were sun dried at the National Tropical Botanical Garden’s Breadfruit Institute in Kalaheo, Hawaii, and provided to scientists for testing. ARS scientists collected smoke samples as they burned the inflorescences in the traditional method used in Pacific regions. More than 30 compounds in the smoke were identified, including a mixture of terpenes, aldehydes, fatty acids, and aromatics.",2013,None,,https://agresearchmag.ars.usda.gov/AR/archive/2013/Nov/breadfruit1113.pdf,"Avant, S. (2013). Breadfruit not so appetizing to mosquitoes. Agriculture Monthly. Vol 28.https://agresearchmag.ars.usda.gov/2013/nov/breadfruit#:~:text=In%20this%20test%2C%20ARS%20scientists%20found%20that%20when,applied%20to%20the%20membrane%2C%20mosquitoes%20did%20not%20feed.","Breadfruit, saturated fatty acids, Aedes aegypti",0,0
Gulayan sa Paaralan: Vegetables go to school in the Philippines,AVRDC-The World Vegetable Center,,NP,Research,,,"Robert Holmer, AVRDC East and Southeast Asia Regional Director, recently attended a conference on the Philippine National Greening Program organized by the Health and Nutrition Center of the Department of Education in Cebu City, Philippines.",2011,None,,https://worldveg.tind.io/record/66048/files/013_15-July-2011.pdf,AVRDC – The World Vegetable Center. (2011). Gulayan sa Paaralan: Vegetables go to school in the Philippines.https://worldveg.tind.io/record/66048/files/013_15-July-2011.pdf,"Gulayan sa paaralan, home and community gardens, AVRDC – the World Vegetable Center",0,0
"Phytochemical Profiles and Antioxidant Activity of Selected Indigenous Vegetables in Northern Mindanao, Philippines","Baang, Romeo M. Del Rosario, Nenita D. Palmes",,NP,Conference,"Mindanao University of Science and Technology, Cagayan de Oro City, Philippines",,"The crude methanol extracts of five indigenous vegetables namely, Amarathus tricolor, Basella rubra L., Chochurus olitorius L., Ipomea batatas, and Momordica chuchinensis L., were examined for their phytochemical profile and antioxidant activity using 1,1-diphenyl-2-picrylhydrazyl (DPPH) free radical. The values for DPPH radical scavenging activity ranged from 7.6-89.53% with B. rubra and I. batatas having the lowest and highest values, respectively. The total flavonoid content of all five indigenous vegetables ranged from 74.65-277.3 mg quercetin equivalent per gram of dried vegetable material while the total phenolic content ranged from 1.93-6.15 mg gallic acid equivalent per gram dried material. Phytochemical screening revealed the presence of steroids, flavonoids, saponins, tannins, carbohydrates and reducing sugars, which may also be associated with the antioxidant activity shown by these indigenous vegetables.",2015,None,,https://publications.waset.org/10001807/phytochemical-profiles-and-antioxidant-activity-of-selected-indigenous-vegetables-in-northern-mindanao-philippines,"Baang, R.P., Del Rosario, R.M., Palmes, N.D. (2015). Phytochemical Profiles and Antioxidant Activity of Selected Indigenous Vegetables in Northern Mindanao, Philippines. World Academy of Science, Engineering and Technology International Journal of Bioengineering and Life Sciences 9(8): 870-875.https://publications.waset.org/10001807/phytochemical-profiles-and-antioxidant-activity-of-selected-indigenous-vegetables-in-northern-mindanao-philippines","Antioxidant, DPPH radical scavenging activity, Philippine indigenous vegetables, phytochemical screening",0,0
Cacao balls with peanut as a small-scale business,Pinky A. Baladhay,,P,Thesis,"Mindoro State College of Agriculture and Technology, Alcate, Oriental Mindoro",,,2015,None,,,"Baladhay, P.A. (2015). Cacao balls with peanut as a small-scale business. Technology and Product Development Center of Mindoro State College of Agriculture and Technology, Alcate, Oriental Mindoro (Undergraduate thesis).","Cacao beans, operational performance, product marketing",0,0
Agriculture- for Wellness or for Illness?,Susan Balingit,,NP,Conference,Sandiwaan Center for Responsible Health Care Inc.,,"People of long ago were much healthier than the people of today. Indigenous tribes in Palawan, Mindoro and Zambales are consideredhealthier than those who live in the “civilized” areas. Our indicators of wellness are the teeth, skin (which mirrors the status of the internal organs), and strength (their weight lifting and mountain climbing abilities).",2006,None,,https://quantum-agri-phils.com/DocSusanBalingitForWellnessOrForIllness.pdf,"Balingit, S. (2006, September 4). Agriculture—For wellness or for illness? Presentation in Agriculture 199: Undergraduate Seminar in Agriculture, University of the Philippines Los Baños. https://quantum-agri-phils.com/DocSusanBalingitForWellnessOrForIllness.pdf","Wellness, genetically modified organisms, indigenous knowledge",0,0
Online Consumer Preference and Sensory Acceptability of Vegetable-Added Pasta Noodles.,"Eufemio G. Barcelon, Juliene N. Chua, Jiselle B. Encinas, Jemimah E. Montemayor, Mahrilag G. Nagalinngam, Anjelu E. Ocampo, Raizza Marie G. Ong",,NP,Journal,"1Department of Food Technology, College of Education, University of Santo Tomas, Manila, Philippines; 2Graduate School, University of Santo Tomas, Manila, Philippines",,"Pasta is considered as a staple food for many countries around the world. There is a great increase in the popularity because of its nutritional aspects. This study determines the consumer preference among three vegetable pasta noodles namely: black bean (Phaseolus vulgaris), red bell pepper (Capsicum annuum) and Gynura procumbens or sabungai through an online survey. The survey included eight questions and was conducted through an open access document with 200 respondents. Based on the results, 50% of the respondents opted to have red bell pepper-added pasta noodles. These respondents are also willing to pay Php 100-200 (USD 2-4) for a single serving of pasta. The online survey was followed by a consumer-type sensory evaluation where the plain (no vegetable-added) pasta noodles and the three vegetable-added pasta noodles were evaluated by 50 untrained panellists. The general acceptability of plain and red bell pepper pasta noodles may not be significantly different from each other but the mean scores showed that the plain (no-vegetable added) pasta noodles has the highest acceptability followed by the red bell pepper pasta noodles. Thus one can see that the result obtained in the online survey and from the sensory evaluation were the same. Through an online survey, together with the sensory evaluation conducted, it can be concluded that the marketability and acceptability of red bell pepper vegetable-added pasta noodles has high potential.",2014,None,,http://article.sapub.org/10.5923.j.fph.20140406.07.html,"Barcelon, E. G., Chua, J. N., Encinas, J. B., Montemayor, J. E., Nagalingam, M. G., Ocampo, A. E., & Ong, R. M. G. (2014). Online consumer preference and sensory acceptability of vegetable-added pasta noodles. Food and Public Health, 4(6), 301–305.http://article.sapub.org/10.5923.j.fph.20140406.07.html

","Black beans, red bell pepper, Gynura procumbens, pasta noodles, consumer preference, sensory acceptability",0,0
"Ethnobotany of ferns and fern allies in Mount Macabol, Manilog District, Davao City, Philippines",Adorico M. Aya-ay,,NP,Book,"University of the Immaculate Conception, Father Selga Street, Davao City, Philippines",1127-1137,"Ethnobotany of ferns and fern allies was conducted in an indigenous community 
at Mt. Macabol, Barangay Salaysay, Marilog District, Davao City, Philippines for five 
inclusive month. The objective of the study was to document the tribal uses of the different 
species of pteridophytes in the area. The gathering of data was done through interview with the chosen members of the community and through the collection of herbarium specimens. 
Seventy-one species of ferns and fern allies were collected. Thirty-seven species (52%) have uses in the tribe. These useful species serve either as food, medicine, ornament, ceremonial materials, or in other forms of uses for the community. The data obtained showed that despite human encroachment, Mt. Macabol remained a home to a good number of ferns and fern allies useful to the residents.",2016,None,,https://serialsjournals.com/abstract/80551_1127-1137.pdf,"Aya-ay, A. M. (2016). Ethnobotany of ferns and fern allies in Mount Macabol, Manilog District, Davao City, Philippines. International Journal of Applied Business and Economic Research, 14(2), 1127–1137. https://serialsjournals.com/abstract/80551_1127-1137.pdf","Ethnobotany, ferns, fern allies, Mount Macabol, pteridophytes",0,0
Kalendaryo at Gabay sa Pagtatanim,Agriculture and Fisheries Information Division,,P,Book,,,,,None,,,"Agriculture and Fisheries Information Division. Kalendaryo at Gabay sa Pagtatanim. Agriculture and Fisheries Information Division, Elliptical Road, Diliman, Quezon City.","Gabay sa pagtatanim, indigenous vegetables, paghahanda ng lupa, pag-aabono, pagsugpo ng peste",0,0
Pagtatanim ng Sibuyas,Agri Pinoy,,P,Book,"Department of Agriculture (Regional Field Office 1) Regional Agriculture and Fisheries Information Section High Value Crops Development Program San Fernando City, La Union.",,,,None,,,"AgriPinoy. Pagtatanim ng Sibuyas. Department of Agriculture (Regional Field Office 1) Regional Agriculture and Fisheries Information Section High Value Crops Development Program San Fernando City, La Union.","Sibuyas, Allium cepa, Rehiyong Ilocos",0,0
Processing ginger into powder (instant tea ginger) as a small-scale business,Norelie O. Alata,,P,Book,"Mindoro State College of Agriculture and Technology, Alcate, Victoria, Oriental Mindoro",,,2015,None,,,"Alata, N. (2015). Processing ginger into powder (instant tea ginger) as a small-scale business. Mindoro State College of Agriculture and Technology, Alcate, Victoria, Oriental Mindoro (Undergraduate thesis).","Ginger tea, entrepreneurship, marketing, consumers",0,0
The nutritional value and phytochemical components of taro [Colocasia esculenta (L.) Schott] powder and its selected processed foods,"Richelle M. Alcantara, Wilma A. Hurtada, and Erlinda I. Dizon",,P,Journal,"1 Institute of Human Nutrition and Food, College of Human Ecology, P University of the Philippines Los Baños, 4031 College, Laguna, Philippines; 2 Institute of Food Science and Technology, Food Science Cluster, College of Agriculture, University of the Philippines Los Baños, 4031 College, Laguna, Philippines",ISSN: 2155-9600,"The nutritional value, phytochemical components and antinutrient contents of taro corm and its products were studied. Processing taro corm significantly affected its proximate composition, mineral content, phytochemical components and antinutrient (oxalate and phytate) contents. There was a significant reduction (p<0.05) in the proximate composition, mineral content, phytochemical components and antinutrient contents when taro corms were made into powder and were further decreased when processed into taro noodles and cookies. Exposure to high temperature during processing could have greatly affected the reduction in nutrient and phytochemical as well as antinutrient contents of raw taro.",2013,None,,https://doi.org/10.4172/2155-9600.1000207,"Alcantara, R. B., Hurtada, W. A., & Dizon, E. I. (2013). The nutritional value and phytochemical components of taro (Colocasia esculenta (L.) Schott) powder and its selected processed foods. Journal of Nutrition & Food Sciences, 3(3). https://doi.org/10.4172/2155-9600.1000207","Taro, nutritional value, phytochemical components, antinutrients, processing",0,0
